"Código","Unidade Territorial","UF","Referência","Taxa de Atualização Cadastral (TAC) para cálculo do Índice de Gestão Descentralizada do Município (IGD-M)"
"120001","ACRELÂNDIA","AC","12/2020","86.73"
"120005","ASSIS BRASIL","AC","12/2020","88.52"
"120010","BRASILÉIA","AC","12/2020","83.58"
"120013","BUJARI","AC","12/2020","85.66"
"120017","CAPIXABA","AC","12/2020","87.79"
"120020","CRUZEIRO DO SUL","AC","12/2020","88.09"
"120025","EPITACIOLÂNDIA","AC","12/2020","83.38"
"120030","FEIJÓ","AC","12/2020","87.30"
"120032","JORDÃO","AC","12/2020","85.75"
"120033","MÂNCIO LIMA","AC","12/2020","82.76"
"120034","MANOEL URBANO","AC","12/2020","94.53"
"120035","MARECHAL THAUMATURGO","AC","12/2020","90.73"
"120038","PLÁCIDO DE CASTRO","AC","12/2020","82.38"
"120039","PORTO WALTER","AC","12/2020","92.23"
"120040","RIO BRANCO","AC","12/2020","85.19"
"120042","RODRIGUES ALVES","AC","12/2020","92.51"
"120043","SANTA ROSA DO PURUS","AC","12/2020","91.90"
"120045","SENADOR GUIOMARD","AC","12/2020","88.40"
"120050","SENA MADUREIRA","AC","12/2020","91.32"
"120060","TARAUACÁ","AC","12/2020","92.75"
"120070","XAPURI","AC","12/2020","88.98"
"120080","PORTO ACRE","AC","12/2020","81.96"
"270010","ÁGUA BRANCA","AL","12/2020","85.25"
"270020","ANADIA","AL","12/2020","77.30"
"270030","ARAPIRACA","AL","12/2020","80.63"
"270040","ATALAIA","AL","12/2020","78.46"
"270050","BARRA DE SANTO ANTÔNIO","AL","12/2020","78.62"
"270060","BARRA DE SÃO MIGUEL","AL","12/2020","90.43"
"270070","BATALHA","AL","12/2020","89.44"
"270080","BELÉM","AL","12/2020","81.85"
"270090","BELO MONTE","AL","12/2020","90.77"
"270100","BOCA DA MATA","AL","12/2020","81.06"
"270110","BRANQUINHA","AL","12/2020","85.25"
"270120","CACIMBINHAS","AL","12/2020","86.69"
"270130","CAJUEIRO","AL","12/2020","79.95"
"270135","CAMPESTRE","AL","12/2020","69.04"
"270140","CAMPO ALEGRE","AL","12/2020","82.86"
"270150","CAMPO GRANDE","AL","12/2020","81.49"
"270160","CANAPI","AL","12/2020","91.31"
"270170","CAPELA","AL","12/2020","80.82"
"270180","CARNEIROS","AL","12/2020","90.79"
"270190","CHÃ PRETA","AL","12/2020","85.89"
"270200","COITÉ DO NÓIA","AL","12/2020","78.61"
"270210","COLÔNIA LEOPOLDINA","AL","12/2020","82.44"
"270220","COQUEIRO SECO","AL","12/2020","86.43"
"270230","CORURIPE","AL","12/2020","76.41"
"270235","CRAÍBAS","AL","12/2020","79.90"
"270240","DELMIRO GOUVEIA","AL","12/2020","71.30"
"270250","DOIS RIACHOS","AL","12/2020","94.04"
"270255","ESTRELA DE ALAGOAS","AL","12/2020","73.20"
"270260","FEIRA GRANDE","AL","12/2020","89.54"
"270270","FELIZ DESERTO","AL","12/2020","91.60"
"270280","FLEXEIRAS","AL","12/2020","86.70"
"270290","GIRAU DO PONCIANO","AL","12/2020","80.71"
"270300","IBATEGUARA","AL","12/2020","90.97"
"270310","IGACI","AL","12/2020","84.47"
"270320","IGREJA NOVA","AL","12/2020","79.28"
"270330","INHAPI","AL","12/2020","85.36"
"270340","JACARÉ DOS HOMENS","AL","12/2020","88.08"
"270350","JACUÍPE","AL","12/2020","79.66"
"270360","JAPARATINGA","AL","12/2020","81.29"
"270370","JARAMATAIA","AL","12/2020","81.72"
"270375","JEQUIÁ DA PRAIA","AL","12/2020","91.81"
"270380","JOAQUIM GOMES","AL","12/2020","93.04"
"270390","JUNDIÁ","AL","12/2020","91.08"
"270400","JUNQUEIRO","AL","12/2020","90.68"
"270410","LAGOA DA CANOA","AL","12/2020","86.07"
"270420","LIMOEIRO DE ANADIA","AL","12/2020","85.30"
"270430","MACEIÓ","AL","12/2020","78.68"
"270440","MAJOR ISIDORO","AL","12/2020","79.68"
"270450","MARAGOGI","AL","12/2020","81.89"
"270460","MARAVILHA","AL","12/2020","90.72"
"270470","MARECHAL DEODORO","AL","12/2020","79.18"
"270480","MARIBONDO","AL","12/2020","82.55"
"270490","MAR VERMELHO","AL","12/2020","90.36"
"270500","MATA GRANDE","AL","12/2020","87.65"
"270510","MATRIZ DE CAMARAGIBE","AL","12/2020","83.18"
"270520","MESSIAS","AL","12/2020","82.04"
"270530","MINADOR DO NEGRÃO","AL","12/2020","92.59"
"270540","MONTEIRÓPOLIS","AL","12/2020","92.92"
"270550","MURICI","AL","12/2020","77.04"
"270560","NOVO LINO","AL","12/2020","84.80"
"270570","OLHO DÁGUA DAS FLORES","AL","12/2020","96.05"
