"Código","Unidade Territorial","UF","Referência","Pessoas com deficiência (PCD) que recebem o Benefício de Prestação Continuada (BPC) por Município pagador"
"120001","ACRELÂNDIA","AC","12/2020","136"
"120005","ASSIS BRASIL","AC","12/2020","114"
"120010","BRASILÉIA","AC","12/2020","684"
"120013","BUJARI","AC","12/2020","95"
"120017","CAPIXABA","AC","12/2020","60"
"120020","CRUZEIRO DO SUL","AC","12/2020","2849"
"120025","EPITACIOLÂNDIA","AC","12/2020","304"
"120030","FEIJÓ","AC","12/2020","911"
"120032","JORDÃO","AC","12/2020","31"
"120033","MÂNCIO LIMA","AC","12/2020","187"
"120034","MANOEL URBANO","AC","12/2020","124"
"120035","MARECHAL THAUMATURGO","AC","12/2020","31"
"120038","PLÁCIDO DE CASTRO","AC","12/2020","275"
"120039","PORTO WALTER","AC","12/2020","28"
"120040","RIO BRANCO","AC","12/2020","9525"
"120042","RODRIGUES ALVES","AC","12/2020","38"
"120043","SANTA ROSA DO PURUS","AC","12/2020","3"
"120045","SENADOR GUIOMARD","AC","12/2020","343"
"120050","SENA MADUREIRA","AC","12/2020","972"
"120060","TARAUACÁ","AC","12/2020","1200"
"120070","XAPURI","AC","12/2020","305"
"120080","PORTO ACRE","AC","12/2020","107"
"270010","ÁGUA BRANCA","AL","12/2020","455"
"270020","ANADIA","AL","12/2020","231"
"270030","ARAPIRACA","AL","12/2020","5672"
"270040","ATALAIA","AL","12/2020","1279"
"270050","BARRA DE SANTO ANTÔNIO","AL","12/2020","120"
"270060","BARRA DE SÃO MIGUEL","AL","12/2020","59"
"270070","BATALHA","AL","12/2020","628"
"270080","BELÉM","AL","12/2020","31"
"270090","BELO MONTE","AL","12/2020","17"
"270100","BOCA DA MATA","AL","12/2020","838"
"270110","BRANQUINHA","AL","12/2020","85"
"270120","CACIMBINHAS","AL","12/2020","183"
"270130","CAJUEIRO","AL","12/2020","192"
"270135","CAMPESTRE","AL","12/2020","69"
"270140","CAMPO ALEGRE","AL","12/2020","859"
"270150","CAMPO GRANDE","AL","12/2020","198"
"270160","CANAPI","AL","12/2020","396"
"270170","CAPELA","AL","12/2020","517"
"270180","CARNEIROS","AL","12/2020","41"
"270190","CHÃ PRETA","AL","12/2020","77"
"270200","COITÉ DO NÓIA","AL","12/2020","92"
"270210","COLÔNIA LEOPOLDINA","AL","12/2020","299"
"270220","COQUEIRO SECO","AL","12/2020","138"
"270230","CORURIPE","AL","12/2020","1283"
"270235","CRAÍBAS","AL","12/2020","535"
"270240","DELMIRO GOUVEIA","AL","12/2020","2361"
"270250","DOIS RIACHOS","AL","12/2020","115"
"270255","ESTRELA DE ALAGOAS","AL","12/2020","188"
"270260","FEIRA GRANDE","AL","12/2020","293"
"270270","FELIZ DESERTO","AL","12/2020","45"
"270280","FLEXEIRAS","AL","12/2020","139"
"270290","GIRAU DO PONCIANO","AL","12/2020","885"
"270300","IBATEGUARA","AL","12/2020","228"
"270310","IGACI","AL","12/2020","701"
"270320","IGREJA NOVA","AL","12/2020","701"
"270330","INHAPI","AL","12/2020","247"
"270340","JACARÉ DOS HOMENS","AL","12/2020","43"
"270350","JACUÍPE","AL","12/2020","50"
"270360","JAPARATINGA","AL","12/2020","38"
"270370","JARAMATAIA","AL","12/2020","46"
"270375","JEQUIÁ DA PRAIA","AL","12/2020","42"
"270380","JOAQUIM GOMES","AL","12/2020","647"
"270390","JUNDIÁ","AL","12/2020","114"
"270400","JUNQUEIRO","AL","12/2020","524"
"270410","LAGOA DA CANOA","AL","12/2020","482"
"270420","LIMOEIRO DE ANADIA","AL","12/2020","270"
"270430","MACEIÓ","AL","12/2020","23598"
"270440","MAJOR ISIDORO","AL","12/2020","380"
"270450","MARAGOGI","AL","12/2020","451"
"270460","MARAVILHA","AL","12/2020","148"
"270470","MARECHAL DEODORO","AL","12/2020","1020"
"270480","MARIBONDO","AL","12/2020","441"
"270490","MAR VERMELHO","AL","12/2020","18"
"270500","MATA GRANDE","AL","12/2020","413"
"270510","MATRIZ DE CAMARAGIBE","AL","12/2020","500"
"270520","MESSIAS","AL","12/2020","186"
"270530","MINADOR DO NEGRÃO","AL","12/2020","59"
"270540","MONTEIRÓPOLIS","AL","12/2020","78"
"270550","MURICI","AL","12/2020","1323"
"270560","NOVO LINO","AL","12/2020","149"
"270570","OLHO DÁGUA DAS FLORES","AL","12/2020","362"
"270580","OLHO DÁGUA DO CASADO","AL","12/2020","69"
"270590","OLHO DÁGUA GRANDE","AL","12/2020","52"
"270600","OLIVENÇA","AL","12/2020","146"
"270610","OURO BRANCO","AL","12/2020","176"
"270620","PALESTINA","AL","12/2020","18"
"270630","PALMEIRA DOS ÍNDIOS","AL","12/2020","2831"
"270640","PÃO DE AÇÚCAR","AL","12/2020","642"
"270642","PARICONHA","AL","12/2020","178"
"270644","PARIPUEIRA","AL","12/2020","162"
"270650","PASSO DE CAMARAGIBE","AL","12/2020","193"
"270660","PAULO JACINTO","AL","12/2020","198"
"270670","PENEDO","AL","12/2020","2295"
"270680","PIAÇABUÇU","AL","12/2020","254"
"270690","PILAR","AL","12/2020","770"
"270700","PINDOBA","AL","12/2020","22"
"270710","PIRANHAS","AL","12/2020","682"
"270720","POÇO DAS TRINCHEIRAS","AL","12/2020","185"
"270730","PORTO CALVO","AL","12/2020","1120"
"270740","PORTO DE PEDRAS","AL","12/2020","31"
"270750","PORTO REAL DO COLÉGIO","AL","12/2020","481"
"270760","QUEBRANGULO","AL","12/2020","208"
"270770","RIO LARGO","AL","12/2020","1803"
"270780","ROTEIRO","AL","12/2020","46"
"270790","SANTA LUZIA DO NORTE","AL","12/2020","174"
"270800","SANTANA DO IPANEMA","AL","12/2020","1613"
"270810","SANTANA DO MUNDAÚ","AL","12/2020","187"
"270820","SÃO BRÁS","AL","12/2020","97"
"270830","SÃO JOSÉ DA LAJE","AL","12/2020","588"
"270840","SÃO JOSÉ DA TAPERA","AL","12/2020","1030"
"270850","SÃO LUÍS DO QUITUNDE","AL","12/2020","927"
"270860","SÃO MIGUEL DOS CAMPOS","AL","12/2020","1694"
"270870","SÃO MIGUEL DOS MILAGRES","AL","12/2020","63"
"270880","SÃO SEBASTIÃO","AL","12/2020","697"
"270890","SATUBA","AL","12/2020","217"
"270895","SENADOR RUI PALMEIRA","AL","12/2020","45"
"270900","TANQUE DARCA","AL","12/2020","68"
"270910","TAQUARANA","AL","12/2020","249"
"270915","TEOTÔNIO VILELA","AL","12/2020","1211"
"270920","TRAIPU","AL","12/2020","393"
"270930","UNIÃO DOS PALMARES","AL","12/2020","4443"
"270940","VIÇOSA","AL","12/2020","1776"
"130002","ALVARÃES","AM","12/2020","116"
"130006","AMATURÁ","AM","12/2020","63"
"130008","ANAMÃ","AM","12/2020","71"
"130010","ANORI","AM","12/2020","83"
"130014","APUÍ","AM","12/2020","197"
"130020","ATALAIA DO NORTE","AM","12/2020","59"
"130030","AUTAZES","AM","12/2020","570"
"130040","BARCELOS","AM","12/2020","165"
"130050","BARREIRINHA","AM","12/2020","293"
"130060","BENJAMIN CONSTANT","AM","12/2020","572"
"130063","BERURI","AM","12/2020","337"
"130068","BOA VISTA DO RAMOS","AM","12/2020","113"
"130070","BOCA DO ACRE","AM","12/2020","884"
"130080","BORBA","AM","12/2020","478"
"130083","CAAPIRANGA","AM","12/2020","39"
"130090","CANUTAMA","AM","12/2020","164"
"130100","CARAUARI","AM","12/2020","466"
"130110","CAREIRO","AM","12/2020","311"
"130115","CAREIRO DA VÁRZEA","AM","12/2020","68"
"130120","COARI","AM","12/2020","1016"
"130130","CODAJÁS","AM","12/2020","418"
"130140","EIRUNEPÉ","AM","12/2020","1232"
"130150","ENVIRA","AM","12/2020","364"
"130160","FONTE BOA","AM","12/2020","257"
"130165","GUAJARÁ","AM","12/2020","30"
"130170","HUMAITÁ","AM","12/2020","707"
"130180","IPIXUNA","AM","12/2020","173"
"130185","IRANDUBA","AM","12/2020","1056"
"130190","ITACOATIARA","AM","12/2020","2137"
"130195","ITAMARATI","AM","12/2020","219"
"130200","ITAPIRANGA","AM","12/2020","79"
"130210","JAPURÁ","AM","12/2020","37"
"130220","JURUÁ","AM","12/2020","117"
"130230","JUTAÍ","AM","12/2020","248"
"130240","LÁBREA","AM","12/2020","826"
"130250","MANACAPURU","AM","12/2020","2994"
"130255","MANAQUIRI","AM","12/2020","205"
"130260","MANAUS","AM","12/2020","26813"
"130270","MANICORÉ","AM","12/2020","1050"
"130280","MARAÃ","AM","12/2020","68"
"130290","MAUÉS","AM","12/2020","1431"
"130300","NHAMUNDÁ","AM","12/2020","299"
"130310","NOVA OLINDA DO NORTE","AM","12/2020","500"
"130320","NOVO AIRÃO","AM","12/2020","275"
"130330","NOVO ARIPUANÃ","AM","12/2020","488"
"130340","PARINTINS","AM","12/2020","1981"
"130350","PAUINI","AM","12/2020","321"
"130353","PRESIDENTE FIGUEIREDO","AM","12/2020","401"
"130356","RIO PRETO DA EVA","AM","12/2020","361"
"130360","SANTA ISABEL DO RIO NEGRO","AM","12/2020","67"
"130370","SANTO ANTÔNIO DO IÇÁ","AM","12/2020","537"
"130380","SÃO GABRIEL DA CACHOEIRA","AM","12/2020","518"
"130390","SÃO PAULO DE OLIVENÇA","AM","12/2020","384"
"130395","SÃO SEBASTIÃO DO UATUMÃ","AM","12/2020","37"
"130400","SILVES","AM","12/2020","44"
"130406","TABATINGA","AM","12/2020","1235"
"130410","TAPAUÁ","AM","12/2020","209"
"130420","TEFÉ","AM","12/2020","2363"
"130423","TONANTINS","AM","12/2020","78"
"130426","UARINI","AM","12/2020","77"
"130430","URUCARÁ","AM","12/2020","258"
"130440","URUCURITUBA","AM","12/2020","59"
"160005","SERRA DO NAVIO","AP","12/2020","44"
"160010","AMAPÁ","AP","12/2020","120"
"160015","PEDRA BRANCA DO AMAPARI","AP","12/2020","79"
"160020","CALÇOENE","AP","12/2020","73"
"160021","CUTIAS","AP","12/2020","26"
"160023","FERREIRA GOMES","AP","12/2020","44"
"160025","ITAUBAL","AP","12/2020","11"
"160027","LARANJAL DO JARI","AP","12/2020","838"
"160030","MACAPÁ","AP","12/2020","8123"
"160040","MAZAGÃO","AP","12/2020","171"
"160050","OIAPOQUE","AP","12/2020","361"
"160053","PORTO GRANDE","AP","12/2020","169"
"160055","PRACUÚBA","AP","12/2020","16"
"160060","SANTANA","AP","12/2020","3421"
"160070","TARTARUGALZINHO","AP","12/2020","99"
"160080","VITÓRIA DO JARI","AP","12/2020","54"
"290010","ABAÍRA","BA","12/2020","140"
"290020","ABARÉ","BA","12/2020","167"
"290030","ACAJUTIBA","BA","12/2020","397"
"290035","ADUSTINA","BA","12/2020","108"
"290040","ÁGUA FRIA","BA","12/2020","204"
"290050","ÉRICO CARDOSO","BA","12/2020","65"
"290060","AIQUARA","BA","12/2020","117"
"290070","ALAGOINHAS","BA","12/2020","2745"
"290080","ALCOBAÇA","BA","12/2020","203"
"290090","ALMADINA","BA","12/2020","170"
"290100","AMARGOSA","BA","12/2020","1060"
"290110","AMÉLIA RODRIGUES","BA","12/2020","484"
"290115","AMÉRICA DOURADA","BA","12/2020","182"
"290120","ANAGÉ","BA","12/2020","511"
"290130","ANDARAÍ","BA","12/2020","261"
"290135","ANDORINHA","BA","12/2020","231"
"290140","ANGICAL","BA","12/2020","259"
