"Código","Unidade Territorial","UF","Referência","Idosos que recebem o Benefício de Prestação Continuada (BPC) por Município pagador"
"120001","ACRELÂNDIA","AC","12/2020","49"
"120005","ASSIS BRASIL","AC","12/2020","80"
"120010","BRASILÉIA","AC","12/2020","417"
"120013","BUJARI","AC","12/2020","44"
"120017","CAPIXABA","AC","12/2020","47"
"120020","CRUZEIRO DO SUL","AC","12/2020","685"
"120025","EPITACIOLÂNDIA","AC","12/2020","233"
"120030","FEIJÓ","AC","12/2020","147"
"120032","JORDÃO","AC","12/2020","4"
"120033","MÂNCIO LIMA","AC","12/2020","25"
"120034","MANOEL URBANO","AC","12/2020","44"
"120035","MARECHAL THAUMATURGO","AC","12/2020","7"
"120038","PLÁCIDO DE CASTRO","AC","12/2020","145"
"120039","PORTO WALTER","AC","12/2020","1"
"120040","RIO BRANCO","AC","12/2020","4413"
"120042","RODRIGUES ALVES","AC","12/2020","6"
"120043","SANTA ROSA DO PURUS","AC","12/2020","8"
"120045","SENADOR GUIOMARD","AC","12/2020","195"
"120050","SENA MADUREIRA","AC","12/2020","301"
"120060","TARAUACÁ","AC","12/2020","265"
"120070","XAPURI","AC","12/2020","117"
"120080","PORTO ACRE","AC","12/2020","67"
"270010","ÁGUA BRANCA","AL","12/2020","60"
"270020","ANADIA","AL","12/2020","52"
"270030","ARAPIRACA","AL","12/2020","3143"
"270040","ATALAIA","AL","12/2020","743"
"270050","BARRA DE SANTO ANTÔNIO","AL","12/2020","37"
"270060","BARRA DE SÃO MIGUEL","AL","12/2020","49"
"270070","BATALHA","AL","12/2020","232"
"270080","BELÉM","AL","12/2020","6"
"270090","BELO MONTE","AL","12/2020","6"
"270100","BOCA DA MATA","AL","12/2020","410"
"270110","BRANQUINHA","AL","12/2020","18"
"270120","CACIMBINHAS","AL","12/2020","41"
"270130","CAJUEIRO","AL","12/2020","82"
"270135","CAMPESTRE","AL","12/2020","43"
"270140","CAMPO ALEGRE","AL","12/2020","497"
"270150","CAMPO GRANDE","AL","12/2020","53"
"270160","CANAPI","AL","12/2020","105"
"270170","CAPELA","AL","12/2020","278"
"270180","CARNEIROS","AL","12/2020","13"
"270190","CHÃ PRETA","AL","12/2020","12"
"270200","COITÉ DO NÓIA","AL","12/2020","15"
"270210","COLÔNIA LEOPOLDINA","AL","12/2020","225"
"270220","COQUEIRO SECO","AL","12/2020","38"
"270230","CORURIPE","AL","12/2020","832"
"270235","CRAÍBAS","AL","12/2020","150"
"270240","DELMIRO GOUVEIA","AL","12/2020","623"
"270250","DOIS RIACHOS","AL","12/2020","42"
"270255","ESTRELA DE ALAGOAS","AL","12/2020","29"
"270260","FEIRA GRANDE","AL","12/2020","68"
"270270","FELIZ DESERTO","AL","12/2020","55"
"270280","FLEXEIRAS","AL","12/2020","103"
"270290","GIRAU DO PONCIANO","AL","12/2020","267"
"270300","IBATEGUARA","AL","12/2020","94"
"270310","IGACI","AL","12/2020","151"
"270320","IGREJA NOVA","AL","12/2020","122"
"270330","INHAPI","AL","12/2020","48"
"270340","JACARÉ DOS HOMENS","AL","12/2020","12"
"270350","JACUÍPE","AL","12/2020","39"
"270360","JAPARATINGA","AL","12/2020","30"
"270370","JARAMATAIA","AL","12/2020","11"
"270375","JEQUIÁ DA PRAIA","AL","12/2020","29"
"270380","JOAQUIM GOMES","AL","12/2020","364"
"270390","JUNDIÁ","AL","12/2020","73"
"270400","JUNQUEIRO","AL","12/2020","179"
"270410","LAGOA DA CANOA","AL","12/2020","175"
"270420","LIMOEIRO DE ANADIA","AL","12/2020","126"
"270430","MACEIÓ","AL","12/2020","9307"
"270440","MAJOR ISIDORO","AL","12/2020","101"
"270450","MARAGOGI","AL","12/2020","346"
"270460","MARAVILHA","AL","12/2020","38"
"270470","MARECHAL DEODORO","AL","12/2020","454"
"270480","MARIBONDO","AL","12/2020","95"
"270490","MAR VERMELHO","AL","12/2020","5"
"270500","MATA GRANDE","AL","12/2020","76"
"270510","MATRIZ DE CAMARAGIBE","AL","12/2020","306"
