"Código","Unidade Territorial","UF","Referência","Famílias inscritas no Cadastro Único"
"120001","ACRELÂNDIA","AC","10/2020","3302"
"120005","ASSIS BRASIL","AC","10/2020","1963"
"120010","BRASILÉIA","AC","10/2020","5413"
"120013","BUJARI","AC","10/2020","2179"
"120017","CAPIXABA","AC","10/2020","2479"
"120020","CRUZEIRO DO SUL","AC","10/2020","15303"
"120025","EPITACIOLÂNDIA","AC","10/2020","3156"
"120030","FEIJÓ","AC","10/2020","6507"
"120032","JORDÃO","AC","10/2020","1740"
"120033","MÂNCIO LIMA","AC","10/2020","4139"
"120034","MANOEL URBANO","AC","10/2020","2696"
"120035","MARECHAL THAUMATURGO","AC","10/2020","3775"
"120038","PLÁCIDO DE CASTRO","AC","10/2020","2719"
"120039","PORTO WALTER","AC","10/2020","2026"
"120040","RIO BRANCO","AC","10/2020","44685"
"120042","RODRIGUES ALVES","AC","10/2020","3398"
"120043","SANTA ROSA DO PURUS","AC","10/2020","1402"
"120045","SENADOR GUIOMARD","AC","10/2020","6235"
"120050","SENA MADUREIRA","AC","10/2020","9372"
"120060","TARAUACÁ","AC","10/2020","9597"
"120070","XAPURI","AC","10/2020","3193"
"120080","PORTO ACRE","AC","10/2020","4336"
"270010","ÁGUA BRANCA","AL","10/2020","4369"
"270020","ANADIA","AL","10/2020","3910"
"270030","ARAPIRACA","AL","10/2020","34748"
"270040","ATALAIA","AL","10/2020","10889"
"270050","BARRA DE SANTO ANTÔNIO","AL","10/2020","5563"
"270060","BARRA DE SÃO MIGUEL","AL","10/2020","2200"
"270070","BATALHA","AL","10/2020","4704"
"270080","BELÉM","AL","10/2020","1484"
"270090","BELO MONTE","AL","10/2020","1776"
"270100","BOCA DA MATA","AL","10/2020","5522"
"270110","BRANQUINHA","AL","10/2020","3278"
"270120","CACIMBINHAS","AL","10/2020","2764"
"270130","CAJUEIRO","AL","10/2020","5161"
"270135","CAMPESTRE","AL","10/2020","2050"
"270140","CAMPO ALEGRE","AL","10/2020","9794"
"270150","CAMPO GRANDE","AL","10/2020","2720"
"270160","CANAPI","AL","10/2020","6327"
"270170","CAPELA","AL","10/2020","3393"
"270180","CARNEIROS","AL","10/2020","2258"
"270190","CHÃ PRETA","AL","10/2020","1641"
"270200","COITÉ DO NÓIA","AL","10/2020","2429"
"270210","COLÔNIA LEOPOLDINA","AL","10/2020","5741"
"270220","COQUEIRO SECO","AL","10/2020","1552"
"270230","CORURIPE","AL","10/2020","9445"
"270235","CRAÍBAS","AL","10/2020","5727"
"270240","DELMIRO GOUVEIA","AL","10/2020","10702"
"270250","DOIS RIACHOS","AL","10/2020","2784"
"270255","ESTRELA DE ALAGOAS","AL","10/2020","4449"
"270260","FEIRA GRANDE","AL","10/2020","5605"
"270270","FELIZ DESERTO","AL","10/2020","1051"
"270280","FLEXEIRAS","AL","10/2020","3949"
