"Código","Unidade Territorial","UF","Referência","Famílias inscritas no Cadastro Único com renda maior que meio salário mínimo"
"120001","ACRELÂNDIA","AC","10/2020","606"
"120005","ASSIS BRASIL","AC","10/2020","186"
"120010","BRASILÉIA","AC","10/2020","840"
"120013","BUJARI","AC","10/2020","258"
"120017","CAPIXABA","AC","10/2020","301"
"120020","CRUZEIRO DO SUL","AC","10/2020","1272"
"120025","EPITACIOLÂNDIA","AC","10/2020","630"
"120030","FEIJÓ","AC","10/2020","489"
"120032","JORDÃO","AC","10/2020","96"
"120033","MÂNCIO LIMA","AC","10/2020","256"
"120034","MANOEL URBANO","AC","10/2020","394"
"120035","MARECHAL THAUMATURGO","AC","10/2020","203"
"120038","PLÁCIDO DE CASTRO","AC","10/2020","408"
"120039","PORTO WALTER","AC","10/2020","137"
"120040","RIO BRANCO","AC","10/2020","6833"
"120042","RODRIGUES ALVES","AC","10/2020","271"
"120043","SANTA ROSA DO PURUS","AC","10/2020","127"
"120045","SENADOR GUIOMARD","AC","10/2020","838"
"120050","SENA MADUREIRA","AC","10/2020","812"
"120060","TARAUACÁ","AC","10/2020","825"
"120070","XAPURI","AC","10/2020","443"
"120080","PORTO ACRE","AC","10/2020","486"
"270010","ÁGUA BRANCA","AL","10/2020","620"
"270020","ANADIA","AL","10/2020","509"
"270030","ARAPIRACA","AL","10/2020","5874"
"270040","ATALAIA","AL","10/2020","1577"
"270050","BARRA DE SANTO ANTÔNIO","AL","10/2020","838"
"270060","BARRA DE SÃO MIGUEL","AL","10/2020","373"
"270070","BATALHA","AL","10/2020","628"
"270080","BELÉM","AL","10/2020","243"
"270090","BELO MONTE","AL","10/2020","186"
"270100","BOCA DA MATA","AL","10/2020","774"
"270110","BRANQUINHA","AL","10/2020","645"
"270120","CACIMBINHAS","AL","10/2020","379"
"270130","CAJUEIRO","AL","10/2020","707"
"270135","CAMPESTRE","AL","10/2020","319"
"270140","CAMPO ALEGRE","AL","10/2020","1983"
"270150","CAMPO GRANDE","AL","10/2020","242"
"270160","CANAPI","AL","10/2020","997"
"270170","CAPELA","AL","10/2020","539"
"270180","CARNEIROS","AL","10/2020","206"
"270190","CHÃ PRETA","AL","10/2020","192"
"270200","COITÉ DO NÓIA","AL","10/2020","321"
"270210","COLÔNIA LEOPOLDINA","AL","10/2020","866"
"270220","COQUEIRO SECO","AL","10/2020","311"
"270230","CORURIPE","AL","10/2020","1678"
"270235","CRAÍBAS","AL","10/2020","809"
"270240","DELMIRO GOUVEIA","AL","10/2020","2101"
"270250","DOIS RIACHOS","AL","10/2020","353"
"270255","ESTRELA DE ALAGOAS","AL","10/2020","1011"
"270260","FEIRA GRANDE","AL","10/2020","541"
"270270","FELIZ DESERTO","AL","10/2020","183"
"270280","FLEXEIRAS","AL","10/2020","837"
