"Código","Unidade Territorial","UF","Referência","Famílias beneficiárias do Programa Bolsa Família"
"120001","ACRELÂNDIA","AC","10/2020","1785"
"120005","ASSIS BRASIL","AC","10/2020","1413"
"120010","BRASILÉIA","AC","10/2020","3341"
"120013","BUJARI","AC","10/2020","1363"
"120017","CAPIXABA","AC","10/2020","1383"
"120020","CRUZEIRO DO SUL","AC","10/2020","10316"
"120025","EPITACIOLÂNDIA","AC","10/2020","1938"
"120030","FEIJÓ","AC","10/2020","4919"
"120032","JORDÃO","AC","10/2020","1328"
"120033","MÂNCIO LIMA","AC","10/2020","3218"
"120034","MANOEL URBANO","AC","10/2020","1727"
"120035","MARECHAL THAUMATURGO","AC","10/2020","2774"
"120038","PLÁCIDO DE CASTRO","AC","10/2020","1626"
"120039","PORTO WALTER","AC","10/2020","1502"
"120040","RIO BRANCO","AC","10/2020","25505"
"120042","RODRIGUES ALVES","AC","10/2020","2570"
"120043","SANTA ROSA DO PURUS","AC","10/2020","1127"
"120045","SENADOR GUIOMARD","AC","10/2020","4047"
"120050","SENA MADUREIRA","AC","10/2020","6869"
"120060","TARAUACÁ","AC","10/2020","7266"
"120070","XAPURI","AC","10/2020","2090"
"120080","PORTO ACRE","AC","10/2020","2645"
"270010","ÁGUA BRANCA","AL","10/2020","2969"
"270020","ANADIA","AL","10/2020","2793"
"270030","ARAPIRACA","AL","10/2020","19876"
"270040","ATALAIA","AL","10/2020","7642"
"270050","BARRA DE SANTO ANTÔNIO","AL","10/2020","3768"
"270060","BARRA DE SÃO MIGUEL","AL","10/2020","1227"
"270070","BATALHA","AL","10/2020","3189"
"270080","BELÉM","AL","10/2020","853"
"270090","BELO MONTE","AL","10/2020","1315"
"270100","BOCA DA MATA","AL","10/2020","3853"
"270110","BRANQUINHA","AL","10/2020","1867"
"270120","CACIMBINHAS","AL","10/2020","1995"
"270130","CAJUEIRO","AL","10/2020","3618"
"270135","CAMPESTRE","AL","10/2020","1382"
"270140","CAMPO ALEGRE","AL","10/2020","5934"
"270150","CAMPO GRANDE","AL","10/2020","2245"
"270160","CANAPI","AL","10/2020","4275"
"270170","CAPELA","AL","10/2020","2201"
"270180","CARNEIROS","AL","10/2020","1664"
"270190","CHÃ PRETA","AL","10/2020","1239"
"270200","COITÉ DO NÓIA","AL","10/2020","1556"
"270210","COLÔNIA LEOPOLDINA","AL","10/2020","4008"
"270220","COQUEIRO SECO","AL","10/2020","766"
"270230","CORURIPE","AL","10/2020","5557"
"270235","CRAÍBAS","AL","10/2020","3935"
"270240","DELMIRO GOUVEIA","AL","10/2020","6321"
"270250","DOIS RIACHOS","AL","10/2020","1872"
"270255","ESTRELA DE ALAGOAS","AL","10/2020","2596"
"270260","FEIRA GRANDE","AL","10/2020","4354"
"270270","FELIZ DESERTO","AL","10/2020","696"
"270280","FLEXEIRAS","AL","10/2020","2166"
"270290","GIRAU DO PONCIANO","AL","10/2020","5677"
"270300","IBATEGUARA","AL","10/2020","2488"
"270310","IGACI","AL","10/2020","4948"
"270320","IGREJA NOVA","AL","10/2020","3533"
"270330","INHAPI","AL","10/2020","2773"
"270340","JACARÉ DOS HOMENS","AL","10/2020","1098"
"270350","JACUÍPE","AL","10/2020","1111"
"270360","JAPARATINGA","AL","10/2020","1847"
"270370","JARAMATAIA","AL","10/2020","1008"
"270375","JEQUIÁ DA PRAIA","AL","10/2020","2291"
"270380","JOAQUIM GOMES","AL","10/2020","3367"
"270390","JUNDIÁ","AL","10/2020","765"
"270400","JUNQUEIRO","AL","10/2020","3919"
"270410","LAGOA DA CANOA","AL","10/2020","3227"
"270420","LIMOEIRO DE ANADIA","AL","10/2020","4200"
"270430","MACEIÓ","AL","10/2020","61755"
"270440","MAJOR ISIDORO","AL","10/2020","3363"
"270450","MARAGOGI","AL","10/2020","5022"
"270460","MARAVILHA","AL","10/2020","2662"
"270470","MARECHAL DEODORO","AL","10/2020","7110"
"270480","MARIBONDO","AL","10/2020","2016"
"270490","MAR VERMELHO","AL","10/2020","671"
"270500","MATA GRANDE","AL","10/2020","3573"
"270510","MATRIZ DE CAMARAGIBE","AL","10/2020","3601"
"270520","MESSIAS","AL","10/2020","1729"
"270530","MINADOR DO NEGRÃO","AL","10/2020","745"
"270540","MONTEIRÓPOLIS","AL","10/2020","1532"
"270550","MURICI","AL","10/2020","4136"
"270560","NOVO LINO","AL","10/2020","1981"
"270570","OLHO DÁGUA DAS FLORES","AL","10/2020","2777"
"270580","OLHO DÁGUA DO CASADO","AL","10/2020","1669"
"270590","OLHO DÁGUA GRANDE","AL","10/2020","1305"
"270600","OLIVENÇA","AL","10/2020","2132"
"270610","OURO BRANCO","AL","10/2020","2527"
"270620","PALESTINA","AL","10/2020","908"
"270630","PALMEIRA DOS ÍNDIOS","AL","10/2020","10928"
"270640","PÃO DE AÇÚCAR","AL","10/2020","3689"
"270642","PARICONHA","AL","10/2020","1743"
"270644","PARIPUEIRA","AL","10/2020","2129"
"270650","PASSO DE CAMARAGIBE","AL","10/2020","2130"
"270660","PAULO JACINTO","AL","10/2020","1264"
"270670","PENEDO","AL","10/2020","9609"
"270680","PIAÇABUÇU","AL","10/2020","3999"
"270690","PILAR","AL","10/2020","5678"
"270700","PINDOBA","AL","10/2020","322"
"270710","PIRANHAS","AL","10/2020","3886"
"270720","POÇO DAS TRINCHEIRAS","AL","10/2020","2676"
"270730","PORTO CALVO","AL","10/2020","5255"
"270740","PORTO DE PEDRAS","AL","10/2020","1710"
"270750","PORTO REAL DO COLÉGIO","AL","10/2020","4188"
"270760","QUEBRANGULO","AL","10/2020","2226"
"270770","RIO LARGO","AL","10/2020","9830"
"270780","ROTEIRO","AL","10/2020","1244"
"270790","SANTA LUZIA DO NORTE","AL","10/2020","956"
"270800","SANTANA DO IPANEMA","AL","10/2020","8008"
"270810","SANTANA DO MUNDAÚ","AL","10/2020","1848"
"270820","SÃO BRÁS","AL","10/2020","1082"
"270830","SÃO JOSÉ DA LAJE","AL","10/2020","3371"
"270840","SÃO JOSÉ DA TAPERA","AL","10/2020","5964"
"270850","SÃO LUÍS DO QUITUNDE","AL","10/2020","6274"
"270860","SÃO MIGUEL DOS CAMPOS","AL","10/2020","7588"
"270870","SÃO MIGUEL DOS MILAGRES","AL","10/2020","1268"
"270880","SÃO SEBASTIÃO","AL","10/2020","5909"
"270890","SATUBA","AL","10/2020","1661"
"270895","SENADOR RUI PALMEIRA","AL","10/2020","2416"
"270900","TANQUE DARCA","AL","10/2020","1010"
"270910","TAQUARANA","AL","10/2020","2655"
"270915","TEOTÔNIO VILELA","AL","10/2020","5342"
"270920","TRAIPU","AL","10/2020","3773"
"270930","UNIÃO DOS PALMARES","AL","10/2020","9520"
"270940","VIÇOSA","AL","10/2020","4451"
"130002","ALVARÃES","AM","10/2020","2316"
"130006","AMATURÁ","AM","10/2020","1541"
"130008","ANAMÃ","AM","10/2020","1953"
"130010","ANORI","AM","10/2020","2885"
"130014","APUÍ","AM","10/2020","1601"
"130020","ATALAIA DO NORTE","AM","10/2020","2091"
"130030","AUTAZES","AM","10/2020","7464"
"130040","BARCELOS","AM","10/2020","2718"
"130050","BARREIRINHA","AM","10/2020","5336"
"130060","BENJAMIN CONSTANT","AM","10/2020","5334"
"130063","BERURI","AM","10/2020","4712"
"130068","BOA VISTA DO RAMOS","AM","10/2020","2389"
"130070","BOCA DO ACRE","AM","10/2020","4982"
"130080","BORBA","AM","10/2020","5336"
"130083","CAAPIRANGA","AM","10/2020","1980"
"130090","CANUTAMA","AM","10/2020","2507"
"130100","CARAUARI","AM","10/2020","5865"
"130110","CAREIRO","AM","10/2020","5569"
"130115","CAREIRO DA VÁRZEA","AM","10/2020","3957"
