"Código","Unidade Territorial","UF","Referência","Idosos que recebem o Benefício de Prestação Continuada (BPC) por Município pagador"
"120001","ACRELÂNDIA","AC","12/2019","52"
"120005","ASSIS BRASIL","AC","12/2019","82"
"120010","BRASILÉIA","AC","12/2019","399"
"120013","BUJARI","AC","12/2019","48"
"120017","CAPIXABA","AC","12/2019","40"
"120020","CRUZEIRO DO SUL","AC","12/2019","688"
"120025","EPITACIOLÂNDIA","AC","12/2019","234"
"120030","FEIJÓ","AC","12/2019","163"
"120032","JORDÃO","AC","12/2019","5"
"120033","MÂNCIO LIMA","AC","12/2019","25"
"120034","MANOEL URBANO","AC","12/2019","43"
"120035","MARECHAL THAUMATURGO","AC","12/2019","7"
"120038","PLÁCIDO DE CASTRO","AC","12/2019","139"
"120039","PORTO WALTER","AC","12/2019","1"
"120040","RIO BRANCO","AC","12/2019","4386"
"120042","RODRIGUES ALVES","AC","12/2019","4"
"120043","SANTA ROSA DO PURUS","AC","12/2019","8"
"120045","SENADOR GUIOMARD","AC","12/2019","193"
"120050","SENA MADUREIRA","AC","12/2019","296"
"120060","TARAUACÁ","AC","12/2019","259"
"120070","XAPURI","AC","12/2019","129"
"120080","PORTO ACRE","AC","12/2019","67"
"270010","ÁGUA BRANCA","AL","12/2019","58"
"270020","ANADIA","AL","12/2019","58"
"270030","ARAPIRACA","AL","12/2019","3097"
"270040","ATALAIA","AL","12/2019","736"
"270050","BARRA DE SANTO ANTÔNIO","AL","12/2019","37"
"270060","BARRA DE SÃO MIGUEL","AL","12/2019","48"
"270070","BATALHA","AL","12/2019","236"
"270080","BELÉM","AL","12/2019","7"
"270090","BELO MONTE","AL","12/2019","4"
"270100","BOCA DA MATA","AL","12/2019","404"
"270110","BRANQUINHA","AL","12/2019","29"
"270120","CACIMBINHAS","AL","12/2019","41"
"270130","CAJUEIRO","AL","12/2019","75"
"270135","CAMPESTRE","AL","12/2019","44"
"270140","CAMPO ALEGRE","AL","12/2019","510"
"270150","CAMPO GRANDE","AL","12/2019","55"
"270160","CANAPI","AL","12/2019","116"
"270170","CAPELA","AL","12/2019","270"
"270180","CARNEIROS","AL","12/2019","17"
"270190","CHÃ PRETA","AL","12/2019","11"
"270200","COITÉ DO NÓIA","AL","12/2019","12"
"270210","COLÔNIA LEOPOLDINA","AL","12/2019","219"
"270220","COQUEIRO SECO","AL","12/2019","36"
"270230","CORURIPE","AL","12/2019","804"
"270235","CRAÍBAS","AL","12/2019","155"
"270240","DELMIRO GOUVEIA","AL","12/2019","644"
"270250","DOIS RIACHOS","AL","12/2019","43"
"270255","ESTRELA DE ALAGOAS","AL","12/2019","31"
"270260","FEIRA GRANDE","AL","12/2019","67"
"270270","FELIZ DESERTO","AL","12/2019","55"
"270280","FLEXEIRAS","AL","12/2019","107"
"270290","GIRAU DO PONCIANO","AL","12/2019","274"
"270300","IBATEGUARA","AL","12/2019","92"
"270310","IGACI","AL","12/2019","154"
"270320","IGREJA NOVA","AL","12/2019","120"
"270330","INHAPI","AL","12/2019","44"
"270340","JACARÉ DOS HOMENS","AL","12/2019","12"
"270350","JACUÍPE","AL","12/2019","43"
"270360","JAPARATINGA","AL","12/2019","25"
"270370","JARAMATAIA","AL","12/2019","9"
"270375","JEQUIÁ DA PRAIA","AL","12/2019","26"
"270380","JOAQUIM GOMES","AL","12/2019","389"
"270390","JUNDIÁ","AL","12/2019","77"
"270400","JUNQUEIRO","AL","12/2019","186"
"270410","LAGOA DA CANOA","AL","12/2019","176"
"270420","LIMOEIRO DE ANADIA","AL","12/2019","123"
"270430","MACEIÓ","AL","12/2019","9200"
"270440","MAJOR ISIDORO","AL","12/2019","102"
"270450","MARAGOGI","AL","12/2019","348"
"270460","MARAVILHA","AL","12/2019","39"
"270470","MARECHAL DEODORO","AL","12/2019","411"
"270480","MARIBONDO","AL","12/2019","96"
"270490","MAR VERMELHO","AL","12/2019","5"
"270500","MATA GRANDE","AL","12/2019","81"
"270510","MATRIZ DE CAMARAGIBE","AL","12/2019","301"
"270520","MESSIAS","AL","12/2019","113"
"270530","MINADOR DO NEGRÃO","AL","12/2019","9"
"270540","MONTEIRÓPOLIS","AL","12/2019","24"
"270550","MURICI","AL","12/2019","411"
"270560","NOVO LINO","AL","12/2019","133"
"270570","OLHO DÁGUA DAS FLORES","AL","12/2019","148"
"270580","OLHO DÁGUA DO CASADO","AL","12/2019","24"
"270590","OLHO DÁGUA GRANDE","AL","12/2019","14"
"270600","OLIVENÇA","AL","12/2019","31"
"270610","OURO BRANCO","AL","12/2019","34"
"270620","PALESTINA","AL","12/2019","1"
"270630","PALMEIRA DOS ÍNDIOS","AL","12/2019","889"
"270640","PÃO DE AÇÚCAR","AL","12/2019","228"
"270642","PARICONHA","AL","12/2019","33"
