"Código","Unidade Territorial","UF","Referência","Famílias inscritas no Cadastro Único"
"120001","ACRELÂNDIA","AC","10/2019","3073"
"120005","ASSIS BRASIL","AC","10/2019","1947"
"120010","BRASILÉIA","AC","10/2019","5190"
"120013","BUJARI","AC","10/2019","2156"
"120017","CAPIXABA","AC","10/2019","2422"
"120020","CRUZEIRO DO SUL","AC","10/2019","14871"
"120025","EPITACIOLÂNDIA","AC","10/2019","3022"
"120030","FEIJÓ","AC","10/2019","6506"
"120032","JORDÃO","AC","10/2019","1646"
"120033","MÂNCIO LIMA","AC","10/2019","4041"
"120034","MANOEL URBANO","AC","10/2019","2610"
"120035","MARECHAL THAUMATURGO","AC","10/2019","3559"
"120038","PLÁCIDO DE CASTRO","AC","10/2019","2693"
"120039","PORTO WALTER","AC","10/2019","1998"
"120040","RIO BRANCO","AC","10/2019","42778"
"120042","RODRIGUES ALVES","AC","10/2019","3327"
"120043","SANTA ROSA DO PURUS","AC","10/2019","1383"
"120045","SENADOR GUIOMARD","AC","10/2019","6048"
"120050","SENA MADUREIRA","AC","10/2019","9264"
"120060","TARAUACÁ","AC","10/2019","9612"
"120070","XAPURI","AC","10/2019","3113"
"120080","PORTO ACRE","AC","10/2019","4201"
"270010","ÁGUA BRANCA","AL","10/2019","4276"
"270020","ANADIA","AL","10/2019","3866"
"270030","ARAPIRACA","AL","10/2019","32479"
"270040","ATALAIA","AL","10/2019","10843"
"270050","BARRA DE SANTO ANTÔNIO","AL","10/2019","5521"
"270060","BARRA DE SÃO MIGUEL","AL","10/2019","2046"
"270070","BATALHA","AL","10/2019","4617"
"270080","BELÉM","AL","10/2019","1418"
"270090","BELO MONTE","AL","10/2019","1816"
"270100","BOCA DA MATA","AL","10/2019","5493"
"270110","BRANQUINHA","AL","10/2019","3236"
"270120","CACIMBINHAS","AL","10/2019","2828"
"270130","CAJUEIRO","AL","10/2019","5091"
"270135","CAMPESTRE","AL","10/2019","2005"
"270140","CAMPO ALEGRE","AL","10/2019","9713"
"270150","CAMPO GRANDE","AL","10/2019","2720"
"270160","CANAPI","AL","10/2019","6032"
"270170","CAPELA","AL","10/2019","3410"
"270180","CARNEIROS","AL","10/2019","2244"
"270190","CHÃ PRETA","AL","10/2019","1632"
"270200","COITÉ DO NÓIA","AL","10/2019","2387"
"270210","COLÔNIA LEOPOLDINA","AL","10/2019","5710"
"270220","COQUEIRO SECO","AL","10/2019","1423"
"270230","CORURIPE","AL","10/2019","9154"
"270235","CRAÍBAS","AL","10/2019","5756"
"270240","DELMIRO GOUVEIA","AL","10/2019","10579"
"270250","DOIS RIACHOS","AL","10/2019","2771"
"270255","ESTRELA DE ALAGOAS","AL","10/2019","4467"
"270260","FEIRA GRANDE","AL","10/2019","5612"
"270270","FELIZ DESERTO","AL","10/2019","1032"
