"Código","Unidade Territorial","UF","Referência","Famílias inscritas no Cadastro Único com renda maior que meio salário mínimo"
"120001","ACRELÂNDIA","AC","10/2019","535"
"120005","ASSIS BRASIL","AC","10/2019","186"
"120010","BRASILÉIA","AC","10/2019","829"
"120013","BUJARI","AC","10/2019","207"
"120017","CAPIXABA","AC","10/2019","263"
"120020","CRUZEIRO DO SUL","AC","10/2019","1182"
"120025","EPITACIOLÂNDIA","AC","10/2019","591"
"120030","FEIJÓ","AC","10/2019","442"
"120032","JORDÃO","AC","10/2019","86"
"120033","MÂNCIO LIMA","AC","10/2019","255"
"120034","MANOEL URBANO","AC","10/2019","396"
"120035","MARECHAL THAUMATURGO","AC","10/2019","192"
"120038","PLÁCIDO DE CASTRO","AC","10/2019","383"
"120039","PORTO WALTER","AC","10/2019","138"
"120040","RIO BRANCO","AC","10/2019","5948"
"120042","RODRIGUES ALVES","AC","10/2019","295"
"120043","SANTA ROSA DO PURUS","AC","10/2019","126"
"120045","SENADOR GUIOMARD","AC","10/2019","784"
"120050","SENA MADUREIRA","AC","10/2019","820"
"120060","TARAUACÁ","AC","10/2019","788"
"120070","XAPURI","AC","10/2019","419"
"120080","PORTO ACRE","AC","10/2019","452"
"270010","ÁGUA BRANCA","AL","10/2019","579"
"270020","ANADIA","AL","10/2019","482"
"270030","ARAPIRACA","AL","10/2019","5108"
"270040","ATALAIA","AL","10/2019","1533"
"270050","BARRA DE SANTO ANTÔNIO","AL","10/2019","830"
"270060","BARRA DE SÃO MIGUEL","AL","10/2019","340"
"270070","BATALHA","AL","10/2019","614"
"270080","BELÉM","AL","10/2019","241"
"270090","BELO MONTE","AL","10/2019","203"
"270100","BOCA DA MATA","AL","10/2019","740"
"270110","BRANQUINHA","AL","10/2019","650"
"270120","CACIMBINHAS","AL","10/2019","378"
"270130","CAJUEIRO","AL","10/2019","692"
"270135","CAMPESTRE","AL","10/2019","306"
"270140","CAMPO ALEGRE","AL","10/2019","1955"
"270150","CAMPO GRANDE","AL","10/2019","213"
"270160","CANAPI","AL","10/2019","847"
"270170","CAPELA","AL","10/2019","543"
"270180","CARNEIROS","AL","10/2019","202"
"270190","CHÃ PRETA","AL","10/2019","176"
"270200","COITÉ DO NÓIA","AL","10/2019","329"
"270210","COLÔNIA LEOPOLDINA","AL","10/2019","820"
"270220","COQUEIRO SECO","AL","10/2019","296"
"270230","CORURIPE","AL","10/2019","1605"
"270235","CRAÍBAS","AL","10/2019","792"
"270240","DELMIRO GOUVEIA","AL","10/2019","2081"
"270250","DOIS RIACHOS","AL","10/2019","363"
"270255","ESTRELA DE ALAGOAS","AL","10/2019","1023"
"270260","FEIRA GRANDE","AL","10/2019","524"
"270270","FELIZ DESERTO","AL","10/2019","169"
"270280","FLEXEIRAS","AL","10/2019","815"
"270290","GIRAU DO PONCIANO","AL","10/2019","783"
"270300","IBATEGUARA","AL","10/2019","914"
"270310","IGACI","AL","10/2019","973"
"270320","IGREJA NOVA","AL","10/2019","722"
"270330","INHAPI","AL","10/2019","437"
"270340","JACARÉ DOS HOMENS","AL","10/2019","216"
"270350","JACUÍPE","AL","10/2019","328"
"270360","JAPARATINGA","AL","10/2019","280"
"270370","JARAMATAIA","AL","10/2019","129"
"270375","JEQUIÁ DA PRAIA","AL","10/2019","517"
"270380","JOAQUIM GOMES","AL","10/2019","885"
"270390","JUNDIÁ","AL","10/2019","215"
"270400","JUNQUEIRO","AL","10/2019","1013"
"270410","LAGOA DA CANOA","AL","10/2019","606"
"270420","LIMOEIRO DE ANADIA","AL","10/2019","522"
"270430","MACEIÓ","AL","10/2019","29162"
"270440","MAJOR ISIDORO","AL","10/2019","656"
"270450","MARAGOGI","AL","10/2019","780"
"270460","MARAVILHA","AL","10/2019","505"
"270470","MARECHAL DEODORO","AL","10/2019","1479"
"270480","MARIBONDO","AL","10/2019","438"
"270490","MAR VERMELHO","AL","10/2019","128"
"270500","MATA GRANDE","AL","10/2019","542"
"270510","MATRIZ DE CAMARAGIBE","AL","10/2019","843"
"270520","MESSIAS","AL","10/2019","818"
"270530","MINADOR DO NEGRÃO","AL","10/2019","171"
"270540","MONTEIRÓPOLIS","AL","10/2019","281"
"270550","MURICI","AL","10/2019","1298"
"270560","NOVO LINO","AL","10/2019","389"
"270570","OLHO DÁGUA DAS FLORES","AL","10/2019","643"
"270580","OLHO DÁGUA DO CASADO","AL","10/2019","215"
"270590","OLHO DÁGUA GRANDE","AL","10/2019","128"
"270600","OLIVENÇA","AL","10/2019","262"
"270610","OURO BRANCO","AL","10/2019","543"
"270620","PALESTINA","AL","10/2019","106"
"270630","PALMEIRA DOS ÍNDIOS","AL","10/2019","2361"
"270640","PÃO DE AÇÚCAR","AL","10/2019","712"
"270642","PARICONHA","AL","10/2019","291"
"270644","PARIPUEIRA","AL","10/2019","664"
"270650","PASSO DE CAMARAGIBE","AL","10/2019","370"
"270660","PAULO JACINTO","AL","10/2019","375"
"270670","PENEDO","AL","10/2019","2668"
"270680","PIAÇABUÇU","AL","10/2019","595"
"270690","PILAR","AL","10/2019","1576"
"270700","PINDOBA","AL","10/2019","66"
"270710","PIRANHAS","AL","10/2019","565"
"270720","POÇO DAS TRINCHEIRAS","AL","10/2019","407"
"270730","PORTO CALVO","AL","10/2019","983"
"270740","PORTO DE PEDRAS","AL","10/2019","271"
"270750","PORTO REAL DO COLÉGIO","AL","10/2019","708"
"270760","QUEBRANGULO","AL","10/2019","431"
"270770","RIO LARGO","AL","10/2019","4346"
"270780","ROTEIRO","AL","10/2019","136"
"270790","SANTA LUZIA DO NORTE","AL","10/2019","251"
"270800","SANTANA DO IPANEMA","AL","10/2019","1134"
"270810","SANTANA DO MUNDAÚ","AL","10/2019","719"
"270820","SÃO BRÁS","AL","10/2019","275"
"270830","SÃO JOSÉ DA LAJE","AL","10/2019","1029"
"270840","SÃO JOSÉ DA TAPERA","AL","10/2019","882"
"270850","SÃO LUÍS DO QUITUNDE","AL","10/2019","992"
"270860","SÃO MIGUEL DOS CAMPOS","AL","10/2019","2249"
"270870","SÃO MIGUEL DOS MILAGRES","AL","10/2019","363"
"270880","SÃO SEBASTIÃO","AL","10/2019","867"
"270890","SATUBA","AL","10/2019","416"
"270895","SENADOR RUI PALMEIRA","AL","10/2019","262"
"270900","TANQUE DARCA","AL","10/2019","445"
"270910","TAQUARANA","AL","10/2019","552"
