"Código","Unidade Territorial","UF","Referência","Famílias beneficiárias do Programa Bolsa Família"
"120001","ACRELÂNDIA","AC","10/2019","1660"
"120005","ASSIS BRASIL","AC","10/2019","1429"
"120010","BRASILÉIA","AC","10/2019","3193"
"120013","BUJARI","AC","10/2019","1430"
"120017","CAPIXABA","AC","10/2019","1532"
"120020","CRUZEIRO DO SUL","AC","10/2019","10604"
"120025","EPITACIOLÂNDIA","AC","10/2019","1779"
"120030","FEIJÓ","AC","10/2019","4863"
"120032","JORDÃO","AC","10/2019","1334"
"120033","MÂNCIO LIMA","AC","10/2019","3219"
"120034","MANOEL URBANO","AC","10/2019","1759"
"120035","MARECHAL THAUMATURGO","AC","10/2019","2788"
"120038","PLÁCIDO DE CASTRO","AC","10/2019","1549"
"120039","PORTO WALTER","AC","10/2019","1521"
"120040","RIO BRANCO","AC","10/2019","22753"
"120042","RODRIGUES ALVES","AC","10/2019","2446"
"120043","SANTA ROSA DO PURUS","AC","10/2019","1123"
"120045","SENADOR GUIOMARD","AC","10/2019","4300"
"120050","SENA MADUREIRA","AC","10/2019","6967"
"120060","TARAUACÁ","AC","10/2019","7449"
"120070","XAPURI","AC","10/2019","2003"
"120080","PORTO ACRE","AC","10/2019","2708"
"270010","ÁGUA BRANCA","AL","10/2019","2849"
"270020","ANADIA","AL","10/2019","2658"
"270030","ARAPIRACA","AL","10/2019","18299"
"270040","ATALAIA","AL","10/2019","7463"
"270050","BARRA DE SANTO ANTÔNIO","AL","10/2019","3909"
"270060","BARRA DE SÃO MIGUEL","AL","10/2019","1247"
"270070","BATALHA","AL","10/2019","3284"
"270080","BELÉM","AL","10/2019","879"
"270090","BELO MONTE","AL","10/2019","1289"
"270100","BOCA DA MATA","AL","10/2019","3682"
"270110","BRANQUINHA","AL","10/2019","1940"
"270120","CACIMBINHAS","AL","10/2019","2034"
"270130","CAJUEIRO","AL","10/2019","3475"
"270135","CAMPESTRE","AL","10/2019","1429"
"270140","CAMPO ALEGRE","AL","10/2019","5885"
"270150","CAMPO GRANDE","AL","10/2019","2293"
"270160","CANAPI","AL","10/2019","4368"
"270170","CAPELA","AL","10/2019","2174"
"270180","CARNEIROS","AL","10/2019","1698"
